1: FRA-0.006636751287991914
2: CDG-0.006515277983691235
3: AMS-0.006449010137891079
4: IST-0.006375254416099557
5: ATL-0.00578309432852942
6: PEK-0.005732949151600119
7: ORD-0.005443231158628476
8: MUC-0.005296330633304254
9: DXB-0.005076959812828688
10: DME-0.00501514645037891
11: DFW-0.004825681355659361
12: LHR-0.004783643009537399
13: LGW-0.0046521504650364545
14: JFK-0.004612697233244761
15: IAH-0.004607675650333214
16: BCN-0.004466161146327289
17: FCO-0.004429809931727742
18: MAD-0.004310034095824894
19: EWR-0.0042516931690262764
20: DEN-0.0042488850619254075
21: STN-0.004214791773267777
22: PVG-0.0042134790122533
23: DUS-0.004123853045733958
24: CAN-0.0041148618914020755
25: BRU-0.004112904508444689
26: MAN-0.004051265720987705
27: DUB-0.004029426387784072
28: YYZ-0.004021280863831031
29: SVO-0.004018250178627547
30: LAX-0.003954002091842017
31: VIE-0.0038674544566027953
32: ZRH-0.003810833394099214
33: CLT-0.003782404934323017
34: HKG-0.0037047689057141345
35: DTW-0.0037031806890864237
36: MIA-0.00369982916012024
37: LAS-0.003672923001044117
38: ICN-0.003639702185986365
39: MSP-0.0035330946860029585
40: PMI-0.00348285576101745
41: SIN-0.003447559184020751
42: ARN-0.00333034192408828
43: PHL-0.003322963274739133
44: IAD-0.003299962412476235
45: DOH-0.003299030164389752
46: BKK-0.003297594485386004
47: CPH-0.003284560331033601
48: ORY-0.003282127947739256
49: AGP-0.0032161496779766845
50: LED-0.0031360759183389993
51: MXP-0.003089795333979452
52: TXL-0.003073808622706108
53: KUL-0.0030703252373250377
54: CTU-0.0029502330143110116
55: NRT-0.002876113044377478
56: MCO-0.00284992584689388
57: TPE-0.0028357042737788686
58: LIS-0.002833486098803417
59: SFO-0.0028210790053896455
60: OSL-0.0028097937286381083
61: GVA-0.002800080068808658
62: SAW-0.0027717585659948044
63: ATH-0.0027293803772324987
64: JED-0.002712312633231014
65: ALC-0.002683941136375871
66: BOS-0.0026634386510986188
67: FLL-0.0026599861728238265
68: PRG-0.002640159722846165
69: CGN-0.0025862252435560995
70: DEL-0.0025630535928309675
71: YUL-0.0025609562653511977
72: KMG-0.002526236018882703
73: GRU-0.0025184667543991833
74: SEA-0.0025123771879462685
75: AUH-0.0024936967538609946
76: NCE-0.002490649871417839
77: EDI-0.0024866342604946867
78: PHX-0.0024787081375924865
79: CKG-0.0024780260092305655
80: DCA-0.0024746552906556507
81: HAM-0.00244804432174487
82: CMN-0.0023928831311957307
83: XIY-0.002389892102057282
84: SZX-0.002389491638160585
85: LTN-0.002371262861049095
86: SLC-0.0023378498912128027
87: MRS-0.0023357149089966254
88: MEX-0.002334271933342242
89: CRL-0.002329060529745969
90: TFS-0.0023227976571398674
91: LPA-0.002310579165255885
92: CAI-0.002309430602802105
93: BHX-0.0022981481388247285
94: STR-0.0022501023240159815
95: RUH-0.0022225376763124736
96: SHJ-0.0021984341586379188
97: BGY-0.0021934605686329154
98: WAW-0.0021830480195597917
99: TLV-0.0021646933981313327
100: LYS-0.0021639228993823533
101: HEL-0.002163909393397961
102: BUD-0.002163330287114854
103: CUN-0.0021554409620025018
104: BWI-0.0021447953265872357
105: MLA-0.0021312560905257143
106: SYD-0.0021040360903291453
107: BOM-0.0020863184566180734
108: JNB-0.0020748700238205258
109: MDW-0.0020579750628952798
110: VCE-0.0020455449428384387
111: BRS-0.0020135989705593184
112: PTY-0.0020069831621312476
113: XMN-0.0020034516562638443
114: HGH-0.002001740095369132
115: VKO-0.001968237431128378
116: CSX-0.0019457964065809645
117: ADD-0.0019317929984653927
118: LGA-0.0019187456492305685
119: SXF-0.0019137142533523102
120: RIX-0.00190745288450021
121: YVR-0.00186351369939776
122: SHA-0.0018625969171054445
123: TPA-0.0018594502492103437
124: BSL-0.0018286784604798435
125: PSA-0.0018228217548611565
126: SVX-0.001815616495112857
127: WUH-0.0018109982875318682
128: OTP-0.0018003557231584862
129: AYT-0.001799941668726882
130: BLQ-0.001799253613225386
131: MNL-0.0017986301066516372
132: NBO-0.0017264375701957215
133: SHE-0.0017257371962718273
134: EIN-0.0017162046123843882
135: CGK-0.0017080716266865952
136: OPO-0.0017071204470782769
137: FAO-0.0017069947450513384
138: TUN-0.001699010515478831
139: KBP-0.0016875257592096553
140: BOG-0.001676213022543865
141: HND-0.0016625494652671598
142: DLC-0.0016442321030111571
143: ALG-0.0016377794656660528
144: BVA-0.0016374240502162456
145: AMM-0.001624521670121103
146: IBZ-0.0016232501518432046
147: GLA-0.0016211676571560444
148: HER-0.0016119467106335164
149: EMA-0.0016008954907116286
150: VLC-0.001600332968933434
151: ACE-0.0015938325727134065
152: TAS-0.0015902906830417742
153: KWI-0.0015875835322497782
154: HRB-0.001587378218787615
155: KIX-0.001586388525258454
156: PDX-0.001566000277035445
157: NTE-0.0015658337098237115
158: YYC-0.0015617594265261003
159: SAN-0.0015611739014930847
160: SKG-0.0015601685891703148
161: LCA-0.0015363123931588579
162: CGO-0.0015288333932231642
163: CLE-0.001524815899919419
164: STL-0.001524560160697938
165: LUX-0.0015119275196344953
166: TAO-0.0015026362504840423
167: OVB-0.0015005445069829963
168: NKG-0.001499352855463483
169: MEL-0.0014761839597254942
170: BEG-0.0014686680373518172
171: MCT-0.0014631135507422112
172: BNE-0.001456725798130168
173: KRK-0.00145276136921807
174: TSN-0.0014487420083139936
175: LBA-0.0014354368349976578
176: FUE-0.0014321584943498577
177: NAP-0.0014310765656814178
178: SGN-0.001418803759244064
179: HAJ-0.0014063754283688468
180: CIA-0.0014027101207210132
181: CTA-0.0014012377800490378
182: GIG-0.0013904120696592052
183: RHO-0.0013843550983551425
184: HNL-0.0013801087414717337
185: GRO-0.001377919418770133
186: AKL-0.0013739179994221864
187: BOD-0.0013703313440418423
188: DMM-0.001353467631113551
189: BGO-0.001349697242427942
190: URC-0.001346220057116437
191: RAK-0.0013438094622998744
192: LPL-0.0013437129677902385
193: NCL-0.001342527919262091
194: VCP-0.0013356367895771487
195: KWE-0.0013329791199398907
196: HHN-0.0013152238178625998
197: GDN-0.0013136050237963156
198: TYN-0.0013065456399376169
199: FOC-0.0013047584929641164
200: CVG-0.0013019466894843169
201: LIM-0.0012929696885227778
202: HOU-0.0012922495223145454
203: VNO-0.0012879741475530287
204: ADB-0.001278096566197493
205: SJU-0.0012752520602361068
206: SFB-0.0012691775082972641
207: ALA-0.001267382110683703
208: TLS-0.0012588454077204383
209: HAN-0.001252447141915807
210: BNA-0.0012460636659970587
211: BEY-0.0012311459013742356
212: IKA-0.0012297828848744834
213: NNG-0.0012231127923937966
214: ESB-0.0012187885063087624
215: BSB-0.0012151781721280812
216: BRE-0.0012087423890980412
217: PUJ-0.001199869913292894
218: NGO-0.0011971598346851703
219: MED-0.0011842578741747185
220: MCI-0.00116178603014177
221: MSQ-0.001155665322180261
222: SOF-0.0011495099643618408
223: BRI-0.0011487047813924078
224: DBV-0.0011469060270912386
225: GDL-0.0011425199214081883
226: TNA-0.0011407117238926624
227: SYX-0.0011393954744138303
228: AUS-0.0011314723597680583
229: DPS-0.0011312156449198513
230: EZE-0.0011286557961903236
231: BAH-0.0011273426206011618
232: KWL-0.0011129149616468106
233: LOS-0.0010999347773253613
234: GYD-0.0010985884999936304
235: BLL-0.001094265950912609
236: NAY-0.0010850122263928136
237: RDU-0.001081645684859259
238: BLR-0.0010794987236047262
239: MSY-0.001078080191711107
240: CMB-0.0010689639729698369
241: TSF-0.0010677055841234913
242: PMO-0.0010659999878696784
243: CHQ-0.0010658945060522057
244: NRN-0.0010657765907465988
245: CFU-0.0010653418234872374
